State,Sector,Indicator,Sub Indicator,Value
Bihar,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,2.6
Bihar,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,73.3
Bihar,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,90.7
Bihar,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,74.9
Bihar,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,23.2
Bihar,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,8.1
Bihar,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,21.8
Bihar,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.7
Bihar,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.1
Bihar,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.7
Bihar,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Bihar,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Bihar,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Chandigarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0
Chandigarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0
Chandigarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0
Chandigarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,100
Chandigarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,100
Chandigarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,100
Chandigarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Chandigarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Chandigarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Chandigarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Chandigarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Chandigarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Chandigarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Chandigarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Chandigarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Chhattisgarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,10
Chhattisgarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,2
Chhattisgarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,8.1
Chhattisgarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,78
Chhattisgarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,94.1
Chhattisgarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,81.8
Chhattisgarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,8.3
Chhattisgarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1
Chhattisgarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,6.5
Chhattisgarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,3.8
Chhattisgarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,2.9
Chhattisgarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,3.5
Chhattisgarh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Chhattisgarh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Chhattisgarh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Dadra & Nagar Haveli and Daman & Diu,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.8
Dadra & Nagar Haveli and Daman & Diu,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.2
Dadra & Nagar Haveli and Daman & Diu,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.5
Dadra & Nagar Haveli and Daman & Diu,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,98.2
Dadra & Nagar Haveli and Daman & Diu,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.8
Dadra & Nagar Haveli and Daman & Diu,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.1
Dadra & Nagar Haveli and Daman & Diu,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1
Dadra & Nagar Haveli and Daman & Diu,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Dadra & Nagar Haveli and Daman & Diu,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.5
Dadra & Nagar Haveli and Daman & Diu,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Dadra & Nagar Haveli and Daman & Diu,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Dadra & Nagar Haveli and Daman & Diu,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Dadra & Nagar Haveli and Daman & Diu,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Dadra & Nagar Haveli and Daman & Diu,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Dadra & Nagar Haveli and Daman & Diu,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Delhi,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0
Delhi,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.1
Delhi,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.1
Delhi,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,98.3
Delhi,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,98.8
Delhi,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,98.8
Delhi,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1.7
Delhi,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.4
Delhi,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.4
Delhi,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Delhi,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.8
Delhi,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.8
Delhi,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Delhi,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Delhi,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Goa,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.3
Goa,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0
Goa,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,0.1
Goa,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.7
Goa,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.9
Goa,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,99.8
Goa,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.1
Goa,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Goa,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0
Goa,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Goa,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.1
Goa,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.1
Goa,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Goa,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Goa,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Gujarat,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,10.5
Gujarat,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,2.8
Gujarat,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,7.4
Gujarat,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,78.7
Gujarat,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,94
Gujarat,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,84.7
Gujarat,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,9.9
Gujarat,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1.9
Gujarat,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,6.7
Gujarat,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,1
Gujarat,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,1.4
Gujarat,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,1.1
Gujarat,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Gujarat,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Gujarat,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Haryana,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,8.2
Haryana,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,6.6
Haryana,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,7.6
Haryana,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,84.2
Haryana,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,92.1
Haryana,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,87.1
Haryana,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,4.3
Haryana,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.6
Haryana,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,2.9
Haryana,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,3.3
Haryana,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.7
Haryana,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,2.4
Haryana,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Haryana,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Haryana,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Himachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,1
Himachal Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,1.4
Himachal Pradesh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,1
Himachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,96.6
Himachal Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,98.2
Himachal Pradesh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,96.7
Himachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,2.3
Himachal Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.4
Himachal Pradesh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,2.2
Himachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.1
Himachal Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Himachal Pradesh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0.1
Himachal Pradesh,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Himachal Pradesh,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Himachal Pradesh,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Jammu & Kashmir,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,12.5
Jammu & Kashmir,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,1.5
Jammu & Kashmir,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,10.1
Jammu & Kashmir,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,81.7
Jammu & Kashmir,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,98.3
Jammu & Kashmir,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,85.3
Jammu & Kashmir,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1.4
Jammu & Kashmir,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,0.1
Jammu & Kashmir,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Ash/mud/sand,1.1
Jammu & Kashmir,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,4.4
Jammu & Kashmir,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,0
Jammu & Kashmir,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,no Hand Washing Facility,3.5
Jammu & Kashmir,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Jammu & Kashmir,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Jammu & Kashmir,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,All,100
Jharkhand,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,10.8
Jharkhand,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,4.7
Jharkhand,All,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water Only,9.5
Jharkhand,Rural,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,55.8
Jharkhand,Urban,Percentage Distribution of Persons by Availability of Hand Washing Facility Within the Premises,Wash Hands with Water and Soap/detergent,90.3
