State,Sector,Indicator,Sub Indicator,Value
Andhra Pradesh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7
Andhra Pradesh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,8.8
Arunachal Pradesh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,93.8
Arunachal Pradesh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.9
Arunachal Pradesh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,94.9
Arunachal Pradesh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,86.2
Arunachal Pradesh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,74.1
Arunachal Pradesh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,83.2
Arunachal Pradesh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,12.6
Arunachal Pradesh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,15.4
Arunachal Pradesh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,13.2
Assam,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,94.9
Assam,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,95.4
Assam,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,95
Assam,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,27.7
Assam,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,35.9
Assam,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,28.4
Assam,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7.6
Assam,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,5.2
Assam,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7.3
Bihar,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,97.7
Bihar,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,95.8
Bihar,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,97.5
Bihar,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,41.7
Bihar,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,48.5
Bihar,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,42.3
Bihar,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7.8
Bihar,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,6.5
Bihar,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7.7
Chandigarh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Chandigarh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,96.9
Chandigarh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,97
Chandigarh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,76.5
Chandigarh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,89.9
Chandigarh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,89.7
Chandigarh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,0.3
Chandigarh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,1.6
Chandigarh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,1.5
Chhattisgarh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,97.8
Chhattisgarh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Chhattisgarh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.2
Chhattisgarh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,80.4
Chhattisgarh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,67.5
Chhattisgarh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,77.9
Chhattisgarh,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,18.4
Chhattisgarh,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,13.8
Chhattisgarh,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,17.3
Dadra & Nagar Haveli and Daman & Diu,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Dadra & Nagar Haveli and Daman & Diu,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Dadra & Nagar Haveli and Daman & Diu,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Dadra & Nagar Haveli and Daman & Diu,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,61.3
Dadra & Nagar Haveli and Daman & Diu,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,81.2
Dadra & Nagar Haveli and Daman & Diu,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,67.1
Dadra & Nagar Haveli and Daman & Diu,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,5.5
Dadra & Nagar Haveli and Daman & Diu,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,1.2
Dadra & Nagar Haveli and Daman & Diu,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,2.7
Delhi,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Delhi,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,86.8
Delhi,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,87.2
Delhi,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,27.4
Delhi,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,54.9
Delhi,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,77.9
Delhi,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,5.2
Delhi,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,2.3
Delhi,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,2.3
Goa,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,100
Goa,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,68.6
Goa,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,77.9
Goa,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,17.4
Goa,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,30.7
Goa,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,25
Goa,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,4.1
Goa,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,3.2
Goa,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,3.6
Gujarat,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,99.2
Gujarat,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.2
Gujarat,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.8
Gujarat,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,53.1
Gujarat,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,58.6
Gujarat,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,55
Gujarat,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,7.3
Gujarat,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,4.9
Gujarat,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014,6.2
Haryana,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,99.8
Haryana,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,96.2
Haryana,All,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time and owned that house/flat as on date of survey,98.3
Haryana,Rural,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,16.1
Haryana,Urban,"Percentage of Households Which Have Purchased/ Constructed New House/flat for Residential Purpose After 31.03.2014, Purchased for the First Time and Owned that House/flat as on Date of Survey",Percentage of household which have purchased/constructed any house/flat after 31.03.2014 for the first time,32.4
