State,Sector,Gender,Indicator,Main reason for Migration,Value
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,3.3
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,To take up employment / better employment,10.3
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,9.5
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,12.7
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,10.7
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,9
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,5.1
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,7.4
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,9.3
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,9.1
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Studies,9.2
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.8
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.2
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",0.9
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.6
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.5
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.5
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.1
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.3
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Social/political problems (riots, terrorism, political refugee, bad law and order, etc.)",1.2
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.2
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,1.3
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.6
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.6
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.7
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.6
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.4
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,1
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Scarcity of water,0.6
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.6
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.4
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.5
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,1.2
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.5
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.9
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.8
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.4
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Proximity to place of work,0.7
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,0.9
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,0
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,0.6
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,5.5
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,1.2
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,3.9
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,2.9
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,0.6
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Post retirement,2.1
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,4.8
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,13.9
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,8.1
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,15.6
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,14.7
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,15.2
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,9.6
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,14.3
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Others,11.3
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.2
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",1
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.5
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.4
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.2
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.3
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.3
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.6
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,"Natural disaster (drought,flood, tsunami, etc.)",0.4
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,2.9
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,20.7
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,9.4
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,8.1
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,39.2
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,20.2
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,5.2
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,29.4
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Migration of parent/earning member of the family,14.3
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0.1
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,13.4
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,4.9
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0.2
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,2.8
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,1.2
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,0.1
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,8.4
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Marriage,3.2
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,19.3
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,11.5
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,16.4
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,11.4
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,8.9
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,10.5
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,15.8
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,10.3
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of employment,13.7
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,34.2
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,7.7
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,24.5
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,17.5
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,3.7
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,12.2
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,26.8
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,5.8
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,In search of better employment,18.9
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,1.5
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,3.2
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,2.1
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,3.5
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,6.5
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,4.7
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,2.4
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,4.7
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Housing problems/  insufficient land holding,3.3
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.5
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,1.5
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.8
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.7
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.6
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.7
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.6
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,1.1
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Health care,0.8
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,0.2
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,1.9
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,0.8
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,-
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,0
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,0
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,0.1
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,1
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Displacement by development project,0.4
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,1.6
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.1
All India,Rural,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,1.1
All India,Urban,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.5
All India,Urban,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,-
All India,Urban,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.3
All India,All,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,1.1
All India,All,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.1
All India,All,Person,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Business,0.7
All India,Rural,Male,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,1.2
All India,Rural,Female,Percentage of Persons* Willing to Move Out From the Present Place of Residence and Percentage Distribution of such Persons by Main Reason# for Leaving Present Place of Residence,Acquisition of own house/ flat,3.3
